Hyperlink ,Redshift ,,,SFRD,Statistical Error,,Systematic Error,,AGN ,,Indicator,Extinction,Explanation,Std. Calibration Factors,,Cosmology Assumptions,,,Notes
,z,min,max,(Msun*yr^−1*Mpc^−3),(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,,,,Metallicity,IMF,H0,Ωm,ΩΛ ,
,,1.70,2.00,0.062,0.023,0.023,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
Khostovan et al. 2015,0.84,,,0.087,0.006,0.006,,,Y,,H_beta + O[III],Y,Calzetti et al. 2000,Y,Sal,70,0.3,0.7,non standard extiction methods
,1.42,,,0.131,0.019,0.014,,,Y,,H_beta + O[III],Y,Calzetti et al. 2000,Y,Sal,70,0.3,0.7,non standard extiction methods
Marchetti et al. 2015,,0.02,0.1,0.014,0.002,0.002,,,N,,IR,Y,Ilbert et al. 2009,N,Sal,70,0.3,0.7,
,,0.05,0.15,0.018,0.003,0.003,,,N,,IR,Y,Ilbert et al. 2009,N,Sal,70,0.3,0.7,
,,0.1,0.2,0.02,0.002,0.002,,,N,,IR,Y,Ilbert et al. 2009,N,Sal,70,0.3,0.7,
,,0.02,0.1,0.019,0.002,0.002,,,N,,FUV + IR,Y,Ilbert et al. 2009,N,Sal,70,0.3,0.7,
,,0.05,0.15,0.023,0.003,0.003,,,N,,FUV + IR,Y,Ilbert et al. 2009,N,Sal,70,0.3,0.7,
,,0.1,0.2,0.025,0.002,0.002,,,N,,FUV + IR,Y,Ilbert et al. 2009,N,Sal,70,0.3,0.7,
Sobral et al. 2015,0.81,0.79,0.83,0.086,0.003,0.003,,,Y,,H_alpha,Y,"Hopkins et al. 2001, AH_alpha = 1",Y,Sal,70,0.3,0.7,Not 100% on extinction
,1.37,1.35,1.39,0.14,0.04,0.04,,,Y,,H_beta + O[III],Y,AH_alpha = 1,Y,Sal,70,0.3,0.7,Not 100% on extinction
Davies et al. 2016,,0,0.1,0.026,0.003,0.003,,,"Y, AGNs excluded",,Multiple,Y,Multiple,"Y, Kewley et al. 2004",Chabrier,70,0.3,0.7,Uses a compilation of many indicators
,,0.1,0.155,0.041,0.005,0.005,,,"Y, AGNs excluded",,Multiple,Y,Multiple,"Y, Kewley et al. 2004",Chabrier,70,0.3,0.7,
,,0.17,0.24,0.044,0.004,0.004,,,"Y, AGNs excluded",,Multiple,Y,Multiple,"Y, Kewley et al. 2004",Chabrier,70,0.3,0.7,
,,0.24,0.35,0.042,0.002,0.002,,,"Y, AGNs excluded",,Multiple,Y,Multiple,"Y, Kewley et al. 2004",Chabrier,70,0.3,0.7,
Gómez-Guijarro et al. 2016,0.62,,,0.036,0.012,0.008,,,"N, none detected",,H_alpha,Y,"Buat et al. 2005 + Calzetti et al. 2000, AH_alpha = 1",Y,Sal,70,0.3,0.7,non standard extinction method
González Delgado et al. 2016,0.012,0.001,0.017,0.0105,0.0008,0.0008,,,"Y, AGNs excluded",,H_alpha,?,?,Y,Sal,71,0.27,0.73,"Cosmological parameters may be wrong - based on 1301.1679, similar paper"
Rowan-Robinson 2016,0.25,,,0.013,0.003,0.002,,,N,,IR + Sub-mm,?,?,N,Sal,72,0.3,0.7,
,0.75,,,0.052,0.035,0.021,,,N,,IR + Sub-mm,?,?,N,Sal,72,0.3,0.7,non standard IMF/extincition method
,1.25,,,0.112,0.032,0.025,,,N,,IR + Sub-mm,?,?,N,Sal,72,0.3,0.7,non standard IMF/extincition method
,1.75,,,0.087,0.03,0.023,,,N,,IR + Sub-mm,?,?,N,Sal,72,0.3,0.7,non standard IMF/extincition method
Van Sistine et al. 2016,0.15,,,0.018,0.001,0.001,0.0022,0.0019,"Y, AGNs excluded",,H_alpha,Y,Schlegel et al. 1998 + Schlafly & Finkbeiner 2011 + Osterbrock & Ferland 2006,Y,Sal,70,0.3,0.7,
Driver et al. 2017,,0.02,0.08,0.011,0.000,0.000,0.002,0.002,0.000,0,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,flagged for important paper and non standard extinction method
,,0.06,0.14,0.015,0.000,0.000,0.002,0.002,0.000,0,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.14,0.2,0.013,0.000,0.000,0.001,0.001,0.000,0,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.2,0.28,0.017,0.000,0.000,0.002,0.002,0.000,0,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.28,0.36,0.018,0.000,0.000,0.003,0.002,0.000,0,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.36,0.45,0.016,0.000,0.000,0.002,0.002,0.000,0,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.45,0.56,0.019,0.000,0.000,0.004,0.003,0.001,0.001,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.56,0.68,0.028,0.000,0.000,0.005,0.004,0.001,0.001,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.68,0.82,0.038,0.001,0.001,0.006,0.005,0.004,0.003,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,0.82,1,0.051,0.000,0.000,0.009,0.008,0.001,0.001,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,1,1.2,0.049,0.000,0.000,0.006,0.005,0.001,0.001,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,1.2,1.45,0.054,0.000,0.000,0.008,0.007,0.003,0.002,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,1.45,1.75,0.068,0.000,0.000,0.01,0.009,0.005,0.005,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
,,1.75,2.2,0.050,0.001,0.001,0.009,0.007,0.007,0.006,UV to FIR,Y,"da Cunha, Charlot, & Elbaz 2008",Y,Chabrier,70,0.3,0.7,
Novak et al. 2017,0.312,0.102,0.4,0.017,0.002,0.002,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
,0.501,0.401,0.6,0.020,0.002,0.002,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
,0.695,0.6,0.805,0.034,0.004,0.004,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
,0.903,0.803,1,0.049,0.005,0.005,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
,1.16,1,1.3,0.049,0.005,0.005,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
,1.44,1.3,1.6,0.058,0.006,0.006,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
,1.81,1.6,2,0.069,0.008,0.008,,,Y,,Radio,N,,N,Chabrier,70,0.3,0.7,
Audcent-Ross et al. 2018,0,,,0.021,0.007,0.005,,,N,,H_alpha,Y,Helmboldt et al. 2004,Y,Sal,70,0.3,0.7,
,0,,,0.020,0.006,0.005,,,N,,FUV,Y,Schlegel et al. 1998 + Cardelli et al. 1989,Y,Sal,70,0.3,0.7,
Coughlin et al. 2018,0.62,,,0.043,0.009,0.007,0.011,0.009,Y,,H_alpha,Y,Hopkins et al. 2001,Y,Sal,71,0.27,0.73,nonstandard dust excintion method
Fermi LAT collab 2018,0,,,0.012,0.013,0.0007,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,result of the mutliple dust extinction correction methods kdust = 10^0.4AV
,0.1,,,0.016,0.014,0.0009,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,0.2,,,0.0210,0.014,0.011,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
,0.3,,,0.027,0.014,0.012,,,Y,,Gamma rays,Y,Fermi LAT Collab 2018,N,Chabrier,70,0.3,0.7,flagged for multiple dust extinction methods used
